Skill,Years Experience
Analytical Problem Solving,15
Business Intelligence,3
Design Thinking,10
Presentation Skills,10
Project Management,7
Team Leadership,7
Technical Writing,17
Value Stream Mapping,5
Data Analytics,3
Data Visualisation,3
Machine Learning,1.5
Programming,1.5
Equipment Qualification,7
Process Improvement / Six Sigma ,10
QA /Regulatory Compliance,10
